,Input1,Input2,Input3,Input4,Input5,Output1,Output2,Output3,Output4,Output5,Output6,Output7,Output8,Output9,Output10
0,0.885529,0.877261,0.86925,0.859173,0.852196,0.856072,0.848837,0.858656,0.872351,0.862273,0.831525,0.850387,0.854005,0.851421,0.846253
1,0.877261,0.86925,0.859173,0.852196,0.856072,0.848837,0.858656,0.872351,0.862273,0.831525,0.850387,0.854005,0.851421,0.846253,0.856589
2,0.86925,0.859173,0.852196,0.856072,0.848837,0.858656,0.872351,0.862273,0.831525,0.850387,0.854005,0.851421,0.846253,0.856589,0.858397
3,0.859173,0.852196,0.856072,0.848837,0.858656,0.872351,0.862273,0.831525,0.850387,0.854005,0.851421,0.846253,0.856589,0.858397,0.85323
4,0.852196,0.856072,0.848837,0.858656,0.872351,0.862273,0.831525,0.850387,0.854005,0.851421,0.846253,0.856589,0.858397,0.85323,0.841602
5,0.856072,0.848837,0.858656,0.872351,0.862273,0.831525,0.850387,0.854005,0.851421,0.846253,0.856589,0.858397,0.85323,0.841602,0.850645
6,0.848837,0.858656,0.872351,0.862273,0.831525,0.850387,0.854005,0.851421,0.846253,0.856589,0.858397,0.85323,0.841602,0.850645,0.870801
7,0.858656,0.872351,0.862273,0.831525,0.850387,0.854005,0.851421,0.846253,0.856589,0.858397,0.85323,0.841602,0.850645,0.870801,0.874676
8,0.872351,0.862273,0.831525,0.850387,0.854005,0.851421,0.846253,0.856589,0.858397,0.85323,0.841602,0.850645,0.870801,0.874676,0.881912
9,0.862273,0.831525,0.850387,0.854005,0.851421,0.846253,0.856589,0.858397,0.85323,0.841602,0.850645,0.870801,0.874676,0.881912,0.889405
10,0.831525,0.850387,0.854005,0.851421,0.846253,0.856589,0.858397,0.85323,0.841602,0.850645,0.870801,0.874676,0.881912,0.889405,0.90155
11,0.850387,0.854005,0.851421,0.846253,0.856589,0.858397,0.85323,0.841602,0.850645,0.870801,0.874676,0.881912,0.889405,0.90155,0.908785
12,0.854005,0.851421,0.846253,0.856589,0.858397,0.85323,0.841602,0.850645,0.870801,0.874676,0.881912,0.889405,0.90155,0.908785,0.912145
13,0.851421,0.846253,0.856589,0.858397,0.85323,0.841602,0.850645,0.870801,0.874676,0.881912,0.889405,0.90155,0.908785,0.912145,0.912661
14,0.846253,0.856589,0.858397,0.85323,0.841602,0.850645,0.870801,0.874676,0.881912,0.889405,0.90155,0.908785,0.912145,0.912661,0.93049
15,0.856589,0.858397,0.85323,0.841602,0.850645,0.870801,0.874676,0.881912,0.889405,0.90155,0.908785,0.912145,0.912661,0.93049,0.916021
16,0.858397,0.85323,0.841602,0.850645,0.870801,0.874676,0.881912,0.889405,0.90155,0.908785,0.912145,0.912661,0.93049,0.916021,0.924548
17,0.85323,0.841602,0.850645,0.870801,0.874676,0.881912,0.889405,0.90155,0.908785,0.912145,0.912661,0.93049,0.916021,0.924548,0.912145
18,0.841602,0.850645,0.870801,0.874676,0.881912,0.889405,0.90155,0.908785,0.912145,0.912661,0.93049,0.916021,0.924548,0.912145,0.922738
19,0.850645,0.870801,0.874676,0.881912,0.889405,0.90155,0.908785,0.912145,0.912661,0.93049,0.916021,0.924548,0.912145,0.922738,0.927649
