,Input1,Input2,Input3,Input4,Input5,Output1,Output2,Output3,Output4,Output5,Output6,Output7,Output8,Output9,Output10
0,0.240541,0.468881,0.668427,0.5845,0.762457,0.393785,0.767626,0.321326,0.654337,0.565534,0.77406,0.353463,0.714409,0.45194,0.803126
1,0.468881,0.668427,0.5845,0.762457,0.393785,0.767626,0.321326,0.654337,0.565534,0.77406,0.353463,0.714409,0.45194,0.803126,0.226057
2,0.668427,0.5845,0.762457,0.393785,0.767626,0.321326,0.654337,0.565534,0.77406,0.353463,0.714409,0.45194,0.803126,0.226057,0.425097
3,0.5845,0.762457,0.393785,0.767626,0.321326,0.654337,0.565534,0.77406,0.353463,0.714409,0.45194,0.803126,0.226057,0.425097,0.638256
4,0.762457,0.393785,0.767626,0.321326,0.654337,0.565534,0.77406,0.353463,0.714409,0.45194,0.803126,0.226057,0.425097,0.638256,0.622841
5,0.393785,0.767626,0.321326,0.654337,0.565534,0.77406,0.353463,0.714409,0.45194,0.803126,0.226057,0.425097,0.638256,0.622841,0.70918
6,0.767626,0.321326,0.654337,0.565534,0.77406,0.353463,0.714409,0.45194,0.803126,0.226057,0.425097,0.638256,0.622841,0.70918,0.545077
7,0.321326,0.654337,0.565534,0.77406,0.353463,0.714409,0.45194,0.803126,0.226057,0.425097,0.638256,0.622841,0.70918,0.545077,0.803102
8,0.654337,0.565534,0.77406,0.353463,0.714409,0.45194,0.803126,0.226057,0.425097,0.638256,0.622841,0.70918,0.545077,0.803102,0.254075
9,0.565534,0.77406,0.353463,0.714409,0.45194,0.803126,0.226057,0.425097,0.638256,0.622841,0.70918,0.545077,0.803102,0.254075,0.506123
10,0.77406,0.353463,0.714409,0.45194,0.803126,0.226057,0.425097,0.638256,0.622841,0.70918,0.545077,0.803102,0.254075,0.506123,0.677666
11,0.353463,0.714409,0.45194,0.803126,0.226057,0.425097,0.638256,0.622841,0.70918,0.545077,0.803102,0.254075,0.506123,0.677666,0.577884
12,0.714409,0.45194,0.803126,0.226057,0.425097,0.638256,0.622841,0.70918,0.545077,0.803102,0.254075,0.506123,0.677666,0.577884,0.771205
13,0.45194,0.803126,0.226057,0.425097,0.638256,0.622841,0.70918,0.545077,0.803102,0.254075,0.506123,0.677666,0.577884,0.771205,0.365828
14,0.803126,0.226057,0.425097,0.638256,0.622841,0.70918,0.545077,0.803102,0.254075,0.506123,0.677666,0.577884,0.771205,0.365828,0.732863
15,0.226057,0.425097,0.638256,0.622841,0.70918,0.545077,0.803102,0.254075,0.506123,0.677666,0.577884,0.771205,0.365828,0.732863,0.409732
16,0.425097,0.638256,0.622841,0.70918,0.545077,0.803102,0.254075,0.506123,0.677666,0.577884,0.771205,0.365828,0.732863,0.409732,0.776179
17,0.638256,0.622841,0.70918,0.545077,0.803102,0.254075,0.506123,0.677666,0.577884,0.771205,0.365828,0.732863,0.409732,0.776179,0.300233
18,0.622841,0.70918,0.545077,0.803102,0.254075,0.506123,0.677666,0.577884,0.771205,0.365828,0.732863,0.409732,0.776179,0.300233,0.612496
19,0.70918,0.545077,0.803102,0.254075,0.506123,0.677666,0.577884,0.771205,0.365828,0.732863,0.409732,0.776179,0.300233,0.612496,0.621317
20,0.545077,0.803102,0.254075,0.506123,0.677666,0.577884,0.771205,0.365828,0.732863,0.409732,0.776179,0.300233,0.612496,0.621317,0.703522
21,0.803102,0.254075,0.506123,0.677666,0.577884,0.771205,0.365828,0.732863,0.409732,0.776179,0.300233,0.612496,0.621317,0.703522,0.557611
22,0.254075,0.506123,0.677666,0.577884,0.771205,0.365828,0.732863,0.409732,0.776179,0.300233,0.612496,0.621317,0.703522,0.557611,0.794244
23,0.506123,0.677666,0.577884,0.771205,0.365828,0.732863,0.409732,0.776179,0.300233,0.612496,0.621317,0.703522,0.557611,0.794244,0.287273
24,0.677666,0.577884,0.771205,0.365828,0.732863,0.409732,0.776179,0.300233,0.612496,0.621317,0.703522,0.557611,0.794244,0.287273,0.588175
25,0.577884,0.771205,0.365828,0.732863,0.409732,0.776179,0.300233,0.612496,0.621317,0.703522,0.557611,0.794244,0.287273,0.588175,0.644581
26,0.771205,0.365828,0.732863,0.409732,0.776179,0.300233,0.612496,0.621317,0.703522,0.557611,0.794244,0.287273,0.588175,0.644581,0.661812
27,0.365828,0.732863,0.409732,0.776179,0.300233,0.612496,0.621317,0.703522,0.557611,0.794244,0.287273,0.588175,0.644581,0.661812,0.649364
28,0.732863,0.409732,0.776179,0.300233,0.612496,0.621317,0.703522,0.557611,0.794244,0.287273,0.588175,0.644581,0.661812,0.649364,0.676082
29,0.409732,0.776179,0.300233,0.612496,0.621317,0.703522,0.557611,0.794244,0.287273,0.588175,0.644581,0.661812,0.649364,0.676082,0.623973
30,0.776179,0.300233,0.612496,0.621317,0.703522,0.557611,0.794244,0.287273,0.588175,0.644581,0.661812,0.649364,0.676082,0.623973,0.718973
31,0.300233,0.612496,0.621317,0.703522,0.557611,0.794244,0.287273,0.588175,0.644581,0.661812,0.649364,0.676082,0.623973,0.718973,0.522092
32,0.612496,0.621317,0.703522,0.557611,0.794244,0.287273,0.588175,0.644581,0.661812,0.649364,0.676082,0.623973,0.718973,0.522092,0.814628
33,0.621317,0.703522,0.557611,0.794244,0.287273,0.588175,0.644581,0.661812,0.649364,0.676082,0.623973,0.718973,0.522092,0.814628,0.207568
34,0.703522,0.557611,0.794244,0.287273,0.588175,0.644581,0.661812,0.649364,0.676082,0.623973,0.718973,0.522092,0.814628,0.207568,0.370292
35,0.557611,0.794244,0.287273,0.588175,0.644581,0.661812,0.649364,0.676082,0.623973,0.718973,0.522092,0.814628,0.207568,0.370292,0.570326
36,0.794244,0.287273,0.588175,0.644581,0.661812,0.649364,0.676082,0.623973,0.718973,0.522092,0.814628,0.207568,0.370292,0.570326,0.685225
37,0.287273,0.588175,0.644581,0.661812,0.649364,0.676082,0.623973,0.718973,0.522092,0.814628,0.207568,0.370292,0.570326,0.685225,0.581884
38,0.588175,0.644581,0.661812,0.649364,0.676082,0.623973,0.718973,0.522092,0.814628,0.207568,0.370292,0.570326,0.685225,0.581884,0.769918
39,0.644581,0.661812,0.649364,0.676082,0.623973,0.718973,0.522092,0.814628,0.207568,0.370292,0.570326,0.685225,0.581884,0.769918,0.370903
40,0.661812,0.649364,0.676082,0.623973,0.718973,0.522092,0.814628,0.207568,0.370292,0.570326,0.685225,0.581884,0.769918,0.370903,0.739909
41,0.649364,0.676082,0.623973,0.718973,0.522092,0.814628,0.207568,0.370292,0.570326,0.685225,0.581884,0.769918,0.370903,0.739909,0.392721
42,0.676082,0.623973,0.718973,0.522092,0.814628,0.207568,0.370292,0.570326,0.685225,0.581884,0.769918,0.370903,0.739909,0.392721,0.759599
43,0.623973,0.718973,0.522092,0.814628,0.207568,0.370292,0.570326,0.685225,0.581884,0.769918,0.370903,0.739909,0.392721,0.759599,0.344552
44,0.718973,0.522092,0.814628,0.207568,0.370292,0.570326,0.685225,0.581884,0.769918,0.370903,0.739909,0.392721,0.759599,0.344552,0.695102
45,0.522092,0.814628,0.207568,0.370292,0.570326,0.685225,0.581884,0.769918,0.370903,0.739909,0.392721,0.759599,0.344552,0.695102,0.493256
46,0.814628,0.207568,0.370292,0.570326,0.685225,0.581884,0.769918,0.370903,0.739909,0.392721,0.759599,0.344552,0.695102,0.493256,0.809929
47,0.207568,0.370292,0.570326,0.685225,0.581884,0.769918,0.370903,0.739909,0.392721,0.759599,0.344552,0.695102,0.493256,0.809929,0.215245
48,0.370292,0.570326,0.685225,0.581884,0.769918,0.370903,0.739909,0.392721,0.759599,0.344552,0.695102,0.493256,0.809929,0.215245,0.393534
49,0.570326,0.685225,0.581884,0.769918,0.370903,0.739909,0.392721,0.759599,0.344552,0.695102,0.493256,0.809929,0.215245,0.393534,0.603166
50,0.685225,0.581884,0.769918,0.370903,0.739909,0.392721,0.759599,0.344552,0.695102,0.493256,0.809929,0.215245,0.393534,0.603166,0.660501
51,0.581884,0.769918,0.370903,0.739909,0.392721,0.759599,0.344552,0.695102,0.493256,0.809929,0.215245,0.393534,0.603166,0.660501,0.639289
52,0.769918,0.370903,0.739909,0.392721,0.759599,0.344552,0.695102,0.493256,0.809929,0.215245,0.393534,0.603166,0.660501,0.639289,0.691867
53,0.370903,0.739909,0.392721,0.759599,0.344552,0.695102,0.493256,0.809929,0.215245,0.393534,0.603166,0.660501,0.639289,0.691867,0.588639
54,0.739909,0.392721,0.759599,0.344552,0.695102,0.493256,0.809929,0.215245,0.393534,0.603166,0.660501,0.639289,0.691867,0.588639,0.765502
55,0.392721,0.759599,0.344552,0.695102,0.493256,0.809929,0.215245,0.393534,0.603166,0.660501,0.639289,0.691867,0.588639,0.765502,0.386084
