,Input1,Input2,Input3,Input4,Input5,Output1,Output2,Output3,Output4,Output5,Output6,Output7,Output8,Output9,Output10
0,0.419081,0.432767,0.449331,0.465912,0.479544,0.488544,0.492933,0.493842,0.492743,0.491013,0.489724,0.489564,0.490823,0.493392,0.496778
1,0.432767,0.449331,0.465912,0.479544,0.488544,0.492933,0.493842,0.492743,0.491013,0.489724,0.489564,0.490823,0.493392,0.496778,0.500164
2,0.449331,0.465912,0.479544,0.488544,0.492933,0.493842,0.492743,0.491013,0.489724,0.489564,0.490823,0.493392,0.496778,0.500164,0.502422
3,0.465912,0.479544,0.488544,0.492933,0.493842,0.492743,0.491013,0.489724,0.489564,0.490823,0.493392,0.496778,0.500164,0.502422,0.50208
4,0.479544,0.488544,0.492933,0.493842,0.492743,0.491013,0.489724,0.489564,0.490823,0.493392,0.496778,0.500164,0.502422,0.50208,0.49747
5,0.488544,0.492933,0.493842,0.492743,0.491013,0.489724,0.489564,0.490823,0.493392,0.496778,0.500164,0.502422,0.50208,0.49747,0.487354
6,0.492933,0.493842,0.492743,0.491013,0.489724,0.489564,0.490823,0.493392,0.496778,0.500164,0.502422,0.50208,0.49747,0.487354,0.471841
7,0.493842,0.492743,0.491013,0.489724,0.489564,0.490823,0.493392,0.496778,0.500164,0.502422,0.50208,0.49747,0.487354,0.471841,0.452549
8,0.492743,0.491013,0.489724,0.489564,0.490823,0.493392,0.496778,0.500164,0.502422,0.50208,0.49747,0.487354,0.471841,0.452549,0.431631
9,0.491013,0.489724,0.489564,0.490823,0.493392,0.496778,0.500164,0.502422,0.50208,0.49747,0.487354,0.471841,0.452549,0.431631,0.410908
10,0.489724,0.489564,0.490823,0.493392,0.496778,0.500164,0.502422,0.50208,0.49747,0.487354,0.471841,0.452549,0.431631,0.410908,0.391552
11,0.489564,0.490823,0.493392,0.496778,0.500164,0.502422,0.50208,0.49747,0.487354,0.471841,0.452549,0.431631,0.410908,0.391552,0.374158
12,0.490823,0.493392,0.496778,0.500164,0.502422,0.50208,0.49747,0.487354,0.471841,0.452549,0.431631,0.410908,0.391552,0.374158,0.358861
13,0.493392,0.496778,0.500164,0.502422,0.50208,0.49747,0.487354,0.471841,0.452549,0.431631,0.410908,0.391552,0.374158,0.358861,0.345455
14,0.496778,0.500164,0.502422,0.50208,0.49747,0.487354,0.471841,0.452549,0.431631,0.410908,0.391552,0.374158,0.358861,0.345455,0.333509
15,0.500164,0.502422,0.50208,0.49747,0.487354,0.471841,0.452549,0.431631,0.410908,0.391552,0.374158,0.358861,0.345455,0.333509,0.322499
16,0.502422,0.50208,0.49747,0.487354,0.471841,0.452549,0.431631,0.410908,0.391552,0.374158,0.358861,0.345455,0.333509,0.322499,0.311947
17,0.50208,0.49747,0.487354,0.471841,0.452549,0.431631,0.410908,0.391552,0.374158,0.358861,0.345455,0.333509,0.322499,0.311947,0.301541
