,Input1,Input2,Input3,Input4,Input5,Output1,Output2,Output3,Output4,Output5,Output6,Output7,Output8,Output9,Output10
0,0.0628803,0.056119,0.0547667,0.0534145,0.0507099,0.0493577,0.0500338,0.0527383,0.0527383,0.0520622,0.0567951,0.0689655,0.0824882,0.0899256,0.0926302
1,0.056119,0.0547667,0.0534145,0.0507099,0.0493577,0.0500338,0.0527383,0.0527383,0.0520622,0.0567951,0.0689655,0.0824882,0.0899256,0.0926302,0.0993915
2,0.0547667,0.0534145,0.0507099,0.0493577,0.0500338,0.0527383,0.0527383,0.0520622,0.0567951,0.0689655,0.0824882,0.0899256,0.0926302,0.0993915,0.120352
3,0.0534145,0.0507099,0.0493577,0.0500338,0.0527383,0.0527383,0.0520622,0.0567951,0.0689655,0.0824882,0.0899256,0.0926302,0.0993915,0.120352,0.147397
4,0.0507099,0.0493577,0.0500338,0.0527383,0.0527383,0.0520622,0.0567951,0.0689655,0.0824882,0.0899256,0.0926302,0.0993915,0.120352,0.147397,0.1643
5,0.0493577,0.0500338,0.0527383,0.0527383,0.0520622,0.0567951,0.0689655,0.0824882,0.0899256,0.0926302,0.0993915,0.120352,0.147397,0.1643,0.185936
6,0.0500338,0.0527383,0.0527383,0.0520622,0.0567951,0.0689655,0.0824882,0.0899256,0.0926302,0.0993915,0.120352,0.147397,0.1643,0.185936,0.215686
7,0.0527383,0.0527383,0.0520622,0.0567951,0.0689655,0.0824882,0.0899256,0.0926302,0.0993915,0.120352,0.147397,0.1643,0.185936,0.215686,0.256254
8,0.0527383,0.0520622,0.0567951,0.0689655,0.0824882,0.0899256,0.0926302,0.0993915,0.120352,0.147397,0.1643,0.185936,0.215686,0.256254,0.300879
9,0.0520622,0.0567951,0.0689655,0.0824882,0.0899256,0.0926302,0.0993915,0.120352,0.147397,0.1643,0.185936,0.215686,0.256254,0.300879,0.340771
10,0.0567951,0.0689655,0.0824882,0.0899256,0.0926302,0.0993915,0.120352,0.147397,0.1643,0.185936,0.215686,0.256254,0.300879,0.340771,0.372549
11,0.0689655,0.0824882,0.0899256,0.0926302,0.0993915,0.120352,0.147397,0.1643,0.185936,0.215686,0.256254,0.300879,0.340771,0.372549,0.407032
12,0.0824882,0.0899256,0.0926302,0.0993915,0.120352,0.147397,0.1643,0.185936,0.215686,0.256254,0.300879,0.340771,0.372549,0.407032,0.453685
13,0.0899256,0.0926302,0.0993915,0.120352,0.147397,0.1643,0.185936,0.215686,0.256254,0.300879,0.340771,0.372549,0.407032,0.453685,0.498986
14,0.0926302,0.0993915,0.120352,0.147397,0.1643,0.185936,0.215686,0.256254,0.300879,0.340771,0.372549,0.407032,0.453685,0.498986,0.544287
15,0.0993915,0.120352,0.147397,0.1643,0.185936,0.215686,0.256254,0.300879,0.340771,0.372549,0.407032,0.453685,0.498986,0.544287,0.586207
16,0.120352,0.147397,0.1643,0.185936,0.215686,0.256254,0.300879,0.340771,0.372549,0.407032,0.453685,0.498986,0.544287,0.586207,0.630832
17,0.147397,0.1643,0.185936,0.215686,0.256254,0.300879,0.340771,0.372549,0.407032,0.453685,0.498986,0.544287,0.586207,0.630832,0.672752
18,0.1643,0.185936,0.215686,0.256254,0.300879,0.340771,0.372549,0.407032,0.453685,0.498986,0.544287,0.586207,0.630832,0.672752,0.702502
19,0.185936,0.215686,0.256254,0.300879,0.340771,0.372549,0.407032,0.453685,0.498986,0.544287,0.586207,0.630832,0.672752,0.702502,0.714672
20,0.215686,0.256254,0.300879,0.340771,0.372549,0.407032,0.453685,0.498986,0.544287,0.586207,0.630832,0.672752,0.702502,0.714672,0.724814
21,0.256254,0.300879,0.340771,0.372549,0.407032,0.453685,0.498986,0.544287,0.586207,0.630832,0.672752,0.702502,0.714672,0.724814,0.74307
22,0.300879,0.340771,0.372549,0.407032,0.453685,0.498986,0.544287,0.586207,0.630832,0.672752,0.702502,0.714672,0.724814,0.74307,0.78499
23,0.340771,0.372549,0.407032,0.453685,0.498986,0.544287,0.586207,0.630832,0.672752,0.702502,0.714672,0.724814,0.74307,0.78499,0.849222
24,0.372549,0.407032,0.453685,0.498986,0.544287,0.586207,0.630832,0.672752,0.702502,0.714672,0.724814,0.74307,0.78499,0.849222,0.896552
25,0.407032,0.453685,0.498986,0.544287,0.586207,0.630832,0.672752,0.702502,0.714672,0.724814,0.74307,0.78499,0.849222,0.896552,0.925625
26,0.453685,0.498986,0.544287,0.586207,0.630832,0.672752,0.702502,0.714672,0.724814,0.74307,0.78499,0.849222,0.896552,0.925625,0.934415
27,0.498986,0.544287,0.586207,0.630832,0.672752,0.702502,0.714672,0.724814,0.74307,0.78499,0.849222,0.896552,0.925625,0.934415,0.933739
28,0.544287,0.586207,0.630832,0.672752,0.702502,0.714672,0.724814,0.74307,0.78499,0.849222,0.896552,0.925625,0.934415,0.933739,0.943205
29,0.586207,0.630832,0.672752,0.702502,0.714672,0.724814,0.74307,0.78499,0.849222,0.896552,0.925625,0.934415,0.933739,0.943205,0.965517
30,0.630832,0.672752,0.702502,0.714672,0.724814,0.74307,0.78499,0.849222,0.896552,0.925625,0.934415,0.933739,0.943205,0.965517,0.985801
31,0.672752,0.702502,0.714672,0.724814,0.74307,0.78499,0.849222,0.896552,0.925625,0.934415,0.933739,0.943205,0.965517,0.985801,0.993239
32,0.702502,0.714672,0.724814,0.74307,0.78499,0.849222,0.896552,0.925625,0.934415,0.933739,0.943205,0.965517,0.985801,0.993239,0.989858
33,0.714672,0.724814,0.74307,0.78499,0.849222,0.896552,0.925625,0.934415,0.933739,0.943205,0.965517,0.985801,0.993239,0.989858,0.982421
34,0.724814,0.74307,0.78499,0.849222,0.896552,0.925625,0.934415,0.933739,0.943205,0.965517,0.985801,0.993239,0.989858,0.982421,0.956728
35,0.74307,0.78499,0.849222,0.896552,0.925625,0.934415,0.933739,0.943205,0.965517,0.985801,0.993239,0.989858,0.982421,0.956728,0.922921
36,0.78499,0.849222,0.896552,0.925625,0.934415,0.933739,0.943205,0.965517,0.985801,0.993239,0.989858,0.982421,0.956728,0.922921,0.885057
37,0.849222,0.896552,0.925625,0.934415,0.933739,0.943205,0.965517,0.985801,0.993239,0.989858,0.982421,0.956728,0.922921,0.885057,0.861393
38,0.896552,0.925625,0.934415,0.933739,0.943205,0.965517,0.985801,0.993239,0.989858,0.982421,0.956728,0.922921,0.885057,0.861393,0.860041
39,0.925625,0.934415,0.933739,0.943205,0.965517,0.985801,0.993239,0.989858,0.982421,0.956728,0.922921,0.885057,0.861393,0.860041,0.864097
40,0.934415,0.933739,0.943205,0.965517,0.985801,0.993239,0.989858,0.982421,0.956728,0.922921,0.885057,0.861393,0.860041,0.864097,0.853279
41,0.933739,0.943205,0.965517,0.985801,0.993239,0.989858,0.982421,0.956728,0.922921,0.885057,0.861393,0.860041,0.864097,0.853279,0.820149
42,0.943205,0.965517,0.985801,0.993239,0.989858,0.982421,0.956728,0.922921,0.885057,0.861393,0.860041,0.864097,0.853279,0.820149,0.789047
43,0.965517,0.985801,0.993239,0.989858,0.982421,0.956728,0.922921,0.885057,0.861393,0.860041,0.864097,0.853279,0.820149,0.789047,0.76741
44,0.985801,0.993239,0.989858,0.982421,0.956728,0.922921,0.885057,0.861393,0.860041,0.864097,0.853279,0.820149,0.789047,0.76741,0.751859
