,Input1,Input2,Input3,Input4,Input5,Output1,Output2,Output3,Output4,Output5,Output6,Output7,Output8,Output9,Output10
0,0.504668,0.488296,0.472277,0.456473,0.440931,0.425772,0.41114,0.397185,0.384057,0.371901,0.360851,0.351038,0.342577,0.335574,0.330122
1,0.488296,0.472277,0.456473,0.440931,0.425772,0.41114,0.397185,0.384057,0.371901,0.360851,0.351038,0.342577,0.335574,0.330122,0.326298
2,0.472277,0.456473,0.440931,0.425772,0.41114,0.397185,0.384057,0.371901,0.360851,0.351038,0.342577,0.335574,0.330122,0.326298,0.324166
3,0.456473,0.440931,0.425772,0.41114,0.397185,0.384057,0.371901,0.360851,0.351038,0.342577,0.335574,0.330122,0.326298,0.324166,0.323773
4,0.440931,0.425772,0.41114,0.397185,0.384057,0.371901,0.360851,0.351038,0.342577,0.335574,0.330122,0.326298,0.324166,0.323773,0.325148
5,0.425772,0.41114,0.397185,0.384057,0.371901,0.360851,0.351038,0.342577,0.335574,0.330122,0.326298,0.324166,0.323773,0.325148,0.328305
6,0.41114,0.397185,0.384057,0.371901,0.360851,0.351038,0.342577,0.335574,0.330122,0.326298,0.324166,0.323773,0.325148,0.328305,0.333238
7,0.397185,0.384057,0.371901,0.360851,0.351038,0.342577,0.335574,0.330122,0.326298,0.324166,0.323773,0.325148,0.328305,0.333238,0.339925
8,0.384057,0.371901,0.360851,0.351038,0.342577,0.335574,0.330122,0.326298,0.324166,0.323773,0.325148,0.328305,0.333238,0.339925,0.348324
9,0.371901,0.360851,0.351038,0.342577,0.335574,0.330122,0.326298,0.324166,0.323773,0.325148,0.328305,0.333238,0.339925,0.348324,0.358377
10,0.360851,0.351038,0.342577,0.335574,0.330122,0.326298,0.324166,0.323773,0.325148,0.328305,0.333238,0.339925,0.348324,0.358377,0.370008
11,0.351038,0.342577,0.335574,0.330122,0.326298,0.324166,0.323773,0.325148,0.328305,0.333238,0.339925,0.348324,0.358377,0.370008,0.383122
12,0.342577,0.335574,0.330122,0.326298,0.324166,0.323773,0.325148,0.328305,0.333238,0.339925,0.348324,0.358377,0.370008,0.383122,0.397611
13,0.335574,0.330122,0.326298,0.324166,0.323773,0.325148,0.328305,0.333238,0.339925,0.348324,0.358377,0.370008,0.383122,0.397611,0.413348
14,0.330122,0.326298,0.324166,0.323773,0.325148,0.328305,0.333238,0.339925,0.348324,0.358377,0.370008,0.383122,0.397611,0.413348,0.430194
15,0.326298,0.324166,0.323773,0.325148,0.328305,0.333238,0.339925,0.348324,0.358377,0.370008,0.383122,0.397611,0.413348,0.430194,0.447997
16,0.324166,0.323773,0.325148,0.328305,0.333238,0.339925,0.348324,0.358377,0.370008,0.383122,0.397611,0.413348,0.430194,0.447997,0.466591
17,0.323773,0.325148,0.328305,0.333238,0.339925,0.348324,0.358377,0.370008,0.383122,0.397611,0.413348,0.430194,0.447997,0.466591,0.4858
18,0.325148,0.328305,0.333238,0.339925,0.348324,0.358377,0.370008,0.383122,0.397611,0.413348,0.430194,0.447997,0.466591,0.4858,0.50544
19,0.328305,0.333238,0.339925,0.348324,0.358377,0.370008,0.383122,0.397611,0.413348,0.430194,0.447997,0.466591,0.4858,0.50544,0.525319
20,0.333238,0.339925,0.348324,0.358377,0.370008,0.383122,0.397611,0.413348,0.430194,0.447997,0.466591,0.4858,0.50544,0.525319,0.545241
21,0.339925,0.348324,0.358377,0.370008,0.383122,0.397611,0.413348,0.430194,0.447997,0.466591,0.4858,0.50544,0.525319,0.545241,0.565005
22,0.348324,0.358377,0.370008,0.383122,0.397611,0.413348,0.430194,0.447997,0.466591,0.4858,0.50544,0.525319,0.545241,0.565005,0.584409
23,0.358377,0.370008,0.383122,0.397611,0.413348,0.430194,0.447997,0.466591,0.4858,0.50544,0.525319,0.545241,0.565005,0.584409,0.603252
24,0.370008,0.383122,0.397611,0.413348,0.430194,0.447997,0.466591,0.4858,0.50544,0.525319,0.545241,0.565005,0.584409,0.603252,0.621334
25,0.383122,0.397611,0.413348,0.430194,0.447997,0.466591,0.4858,0.50544,0.525319,0.545241,0.565005,0.584409,0.603252,0.621334,0.638462
26,0.397611,0.413348,0.430194,0.447997,0.466591,0.4858,0.50544,0.525319,0.545241,0.565005,0.584409,0.603252,0.621334,0.638462,0.654447
27,0.413348,0.430194,0.447997,0.466591,0.4858,0.50544,0.525319,0.545241,0.565005,0.584409,0.603252,0.621334,0.638462,0.654447,0.66911
28,0.430194,0.447997,0.466591,0.4858,0.50544,0.525319,0.545241,0.565005,0.584409,0.603252,0.621334,0.638462,0.654447,0.66911,0.682282
29,0.447997,0.466591,0.4858,0.50544,0.525319,0.545241,0.565005,0.584409,0.603252,0.621334,0.638462,0.654447,0.66911,0.682282,0.693807
30,0.466591,0.4858,0.50544,0.525319,0.545241,0.565005,0.584409,0.603252,0.621334,0.638462,0.654447,0.66911,0.682282,0.693807,0.703542
31,0.4858,0.50544,0.525319,0.545241,0.565005,0.584409,0.603252,0.621334,0.638462,0.654447,0.66911,0.682282,0.693807,0.703542,0.711363
32,0.50544,0.525319,0.545241,0.565005,0.584409,0.603252,0.621334,0.638462,0.654447,0.66911,0.682282,0.693807,0.703542,0.711363,0.717161
33,0.525319,0.545241,0.565005,0.584409,0.603252,0.621334,0.638462,0.654447,0.66911,0.682282,0.693807,0.703542,0.711363,0.717161,0.720846
34,0.545241,0.565005,0.584409,0.603252,0.621334,0.638462,0.654447,0.66911,0.682282,0.693807,0.703542,0.711363,0.717161,0.720846,0.722351
35,0.565005,0.584409,0.603252,0.621334,0.638462,0.654447,0.66911,0.682282,0.693807,0.703542,0.711363,0.717161,0.720846,0.722351,0.721629
36,0.584409,0.603252,0.621334,0.638462,0.654447,0.66911,0.682282,0.693807,0.703542,0.711363,0.717161,0.720846,0.722351,0.721629,0.718658
37,0.603252,0.621334,0.638462,0.654447,0.66911,0.682282,0.693807,0.703542,0.711363,0.717161,0.720846,0.722351,0.721629,0.718658,0.713437
38,0.621334,0.638462,0.654447,0.66911,0.682282,0.693807,0.703542,0.711363,0.717161,0.720846,0.722351,0.721629,0.718658,0.713437,0.705992
39,0.638462,0.654447,0.66911,0.682282,0.693807,0.703542,0.711363,0.717161,0.720846,0.722351,0.721629,0.718658,0.713437,0.705992,0.696368
40,0.654447,0.66911,0.682282,0.693807,0.703542,0.711363,0.717161,0.720846,0.722351,0.721629,0.718658,0.713437,0.705992,0.696368,0.684637
41,0.66911,0.682282,0.693807,0.703542,0.711363,0.717161,0.720846,0.722351,0.721629,0.718658,0.713437,0.705992,0.696368,0.684637,0.67089
42,0.682282,0.693807,0.703542,0.711363,0.717161,0.720846,0.722351,0.721629,0.718658,0.713437,0.705992,0.696368,0.684637,0.67089,0.655238
43,0.693807,0.703542,0.711363,0.717161,0.720846,0.722351,0.721629,0.718658,0.713437,0.705992,0.696368,0.684637,0.67089,0.655238,0.637812
44,0.703542,0.711363,0.717161,0.720846,0.722351,0.721629,0.718658,0.713437,0.705992,0.696368,0.684637,0.67089,0.655238,0.637812,0.618761
45,0.711363,0.717161,0.720846,0.722351,0.721629,0.718658,0.713437,0.705992,0.696368,0.684637,0.67089,0.655238,0.637812,0.618761,0.598249
46,0.717161,0.720846,0.722351,0.721629,0.718658,0.713437,0.705992,0.696368,0.684637,0.67089,0.655238,0.637812,0.618761,0.598249,0.576459
